sep=	
time (source1)	light
0	175
0.024	175
0.049	175
0.074	175
0.098	175
0.12	175
0.144	175
0.169	175
0.193	175
0.218	175
0.242	175
0.266	175
0.291	175
0.311	175
0.336	175
0.362	175
0.386	175
0.41	175
0.434	0
0.455	0
0.48	0
0.505	0
0.529	0
0.553	0
0.578	0
0.602	0
0.626	0
0.65	0
0.671	0
0.695	0
0.72	0
0.744	0
0.769	0
0.794	0
0.819	0
0.844	0
0.868	0
0.893	0
0.918	0
0.942	0
0.967	0
0.988	0
1.012	0
1.036	0
1.062	0
1.087	0
1.108	0
1.132	0
1.156	0
1.181	0
1.205	0
1.229	0
1.251	0
1.277	0
1.301	0
1.326	0
1.35	0
1.374	0
1.399	0
1.42	0
1.444	0
1.468	0
1.492	0
1.516	0
1.54	0
1.565	0
1.589	0
1.613	0
1.637	0
1.661	0
1.686	0
1.707	0
1.732	0
1.756	0
1.781	0
1.805	0
1.83	0
1.854	0
1.878	0
1.904	0
1.923	0
1.949	0
1.974	0
1.996	0
2.02	0
2.045	0
2.069	0
2.092	0
2.117	0
2.142	0
2.166	0
2.187	0
2.212	0
2.238	0
2.262	0
2.284	0
2.308	0
2.333	0
2.357	0
2.38	0
2.404	0
2.429	0
2.453	0
2.477	91
2.502	91
2.523	91
2.549	91
2.574	91
2.599	91
2.62	91
2.644	91
2.669	91
2.694	91
2.716	91
2.74	91
2.764	91
2.789	91
2.813	91
2.838	91
2.86	91
2.885	91
2.91	91
2.934	91
2.958	91
2.983	91
3.004	91
3.028	91
3.052	91
3.077	91
3.102	91
3.126	91
3.15	91
3.171	91
3.196	91
3.22	91
3.244	91
3.268	91
3.293	91
3.317	91
3.342	91
3.367	91
3.388	91
3.412	91
3.437	91
3.462	91
3.486	91
3.511	224
3.537	224
3.562	224
3.587	224
3.608	224
3.632	224
3.657	224
3.683	224
3.705	224
3.729	224
3.754	224
3.778	224
3.802	224
3.823	224
3.849	224
3.874	224
3.898	224
3.923	224
3.943	224
3.968	224
3.993	224
4.017	224
4.041	224
4.066	224
4.09	224
4.115	224
4.135	224
4.16	224
4.184	224
4.209	224
4.234	224
4.258	224
4.279	224
4.304	224
4.328	224
4.352	224
4.376	224
4.4	224
4.424	224
4.449	224
4.473	224
4.497	224
4.522	0
4.546	0
4.568	0
4.591	0
4.617	0
4.641	0
4.666	0
4.69	0
4.712	0
4.736	0
4.762	0
4.787	0
4.807	0
4.832	0
4.856	0
4.881	0
4.905	0
4.93	0
4.951	0
4.976	0
5.001	0
5.025	0
5.05	0
5.074	0
5.099	0
5.12	0
5.144	0
5.168	0
5.193	0
5.217	0
5.242	0
5.266	0
5.288	0
5.312	0
5.338	0
5.362	0
5.383	0
5.408	0
5.432	0
5.456	0
5.48	0
5.505	0
5.529	0
5.553	241
5.577	241
5.602	241
5.623	241
5.649	241
5.672	241
5.696	241
5.721	241
5.745	241
5.77	241
5.794	241
5.818	241
5.839	241
5.863	241
5.889	241
5.913	241
5.937	241
5.961	241
5.986	241
6.007	241
6.032	241
6.056	241
6.08	241
6.105	241
6.129	241
6.153	241
6.177	241
6.202	241
6.227	241
6.252	241
6.277	241
6.301	241
6.327	241
6.347	241
6.372	241
6.396	241
6.42	241
6.444	241
6.468	241
6.492	241
6.517	241
6.541	241
6.565	0
6.59	0
6.614	0
6.638	0
6.662	0
6.686	0
6.707	0
6.732	0
6.756	0
6.78	0
6.805	0
6.829	0
6.854	0
6.878	0
6.902	0
6.924	0
6.948	0
6.972	0
6.996	0
7.022	0
7.046	0
7.07	0
7.094	0
7.118	0
7.139	0
7.164	0
7.189	0
7.213	0
7.238	0
7.262	0
7.286	0
7.31	0
7.334	0
7.359	0
7.379	0
7.405	0
7.429	0
7.454	0
7.478	0
7.502	0
7.523	0
7.549	0
7.573	0
7.598	221
7.62	221
7.644	221
7.668	221
7.692	221
7.717	221
7.741	221
7.765	221
7.789	221
7.814	221
7.838	221
7.862	221
7.886	221
7.91	221
7.931	221
7.955	221
7.979	221
8.004	221
8.028	221
8.051	221
8.076	221
8.101	221
8.125	221
8.149	221
8.173	221
8.197	221
8.222	221
8.246	221
8.271	221
8.291	221
8.316	221
8.34	221
8.364	221
8.389	221
8.413	221
8.437	221
8.461	221
8.485	221
8.51	221
8.534	221
8.558	221
8.579	221
8.604	221
8.629	242
8.651	242
8.676	242
8.701	242
8.725	242
8.75	242
8.774	242
8.798	242
8.822	242
8.846	242
8.87	242
8.895	242
8.919	242
8.944	242
8.968	242
8.994	242
9.018	242
9.042	242
9.066	242
9.09	242
9.111	242
9.137	242
9.161	242
9.185	242
9.21	242
9.235	242
9.255	242
9.279	242
9.304	242
9.328	242
9.352	242
9.377	242
9.401	242
9.426	242
9.45	242
9.474	242
9.495	242
9.52	242
9.544	242
9.568	242
9.592	242
9.617	242
9.641	241
9.665	241
9.689	241
9.713	241
9.738	241
9.762	241
9.786	241
9.807	241
9.832	241
9.856	241
9.88	241
9.904	241
9.928	241
9.952	241
9.977	241
10.001	241
10.025	241
10.05	241
10.074	241
10.099	241
10.119	241
10.144	241
10.171	241
10.191	241
10.216	241
10.24	241
10.264	241
10.288	241
10.312	241
10.338	241
10.362	241
10.386	241
10.407	241
10.432	241
10.456	241
10.48	241
10.505	241
10.529	241
10.553	241
10.577	241
10.602	241
10.626	241
10.65	241
10.674	240
10.695	240
10.719	240
10.743	240
10.767	240
10.791	240
10.816	240
10.84	240
10.864	240
10.888	240
10.912	240
10.937	240
10.961	240
10.985	240
11.009	240
11.033	240
11.057	240
11.081	240
11.105	240
11.129	240
11.154	240
11.175	240
11.199	240
11.224	240
11.249	240
11.274	240
11.298	240
11.323	240
11.343	240
11.368	240
11.393	240
11.417	240
11.439	240
11.463	240
11.489	240
11.513	240
11.539	240
11.563	240
11.589	240
11.613	240
11.637	240
11.662	240
11.686	240
11.707	240
11.732	240
11.756	240
11.78	240
11.804	240
11.829	240
11.853	240
11.877	240
11.902	240
11.926	240
11.95	240
11.974	240
11.995	240
12.022	240
12.046	240
12.071	240
12.091	240
